"basketId","product_id","user_id"
"1003461","00066f42aeeb9f3007548bb9d3f33c38","00e872ca2fc94e59982286e69f186e0e"
"5000088","00088930e925c41fd95ebfe695fd2655","0125fb08af5c9dd55731090aafc63ac8"
"17302664","0009406fd7479715e4bef61dd91f2462","0301e2b22f44b5a060987ecf49f8ada8"
"3601530","000b8f95fcb9e0096488278317764d19","03dabd77cb0ed7a26fafe19e36b67742"
"1004775","000d9be29b5207b54e86aa1b1ac54872","0659763dba9821af49728668716e1084"
"1306894","0011c512eb256aa0dbbb544d8dffcf6e","06caeba6db23a17bf9bcb3846b768387"
"1306421","00126f27c813603687e6ce486d909d01","07af1aef7bf4d17ec7f0f166e9025fc9"
"15900065","001795ec6f1b187d37335e1c4704762e","0a3f32fce9d5056b96a9fe604715982b"
"12708937","001b237c0e9bb435f2e54071129237e9","0a9854e7028c74302d0963fa56e77a18"
"1004258","001b72dfd63e9833e8c02742adf472e3","0b5295fc9819d831f68eb0e9a3e13ab7"
"17200570","001c5d71ac6ad696d22315953758fa04","0b83f73b19c2019e182fd552c048a22c"
"2701517","00210e41887c2a8ef9f791ebc780cc36","0be419a69453900fff1337bc4c3e0f0f"
"16700260","002159fe700ed3521f46cfcf6e941c76","0c4f8b6f80f0dbddbdce3882d2242be9"
"34600011","0021a87d4997a48b6cef1665602be0f5","0f88eb431888ffb9d726252b7ac8cefe"
"4600658","00250175f79f584c14ab5cecd80553cd","104bdb7e6a6cdceaa88c3ea5fa6b2b93"
"24900193","002552c0663708129c0019cc97552d7d","10b960a4f2cfecc03e6c89b4b02ebab6"
"27400066","002959d7a0b0990fe2d69988affcbc80","11a58793327e4f480717491484f4372a"
"5100503","002af88741ba70c7b5cf4e4a0ad7ef85","12d1cda209613cd60b9d242181be7077"
"1004566","002c6dab60557c48cfd6c2222ef7fd76","14843983d4a159080f6afe4b7f346e7c"
"1307115","002d4ea7c04739c130bb74d7e7cd1694","15090f48004f3b0fc18a167ef82af4db"
"12719154","002ec297b1b00fb9dde7ee6ac24b6771","15b3549f16e0f7bdc1afcbad647eb8a6"
